task,source_prefix,audio_path,resolved_audio_path,resolution_method,prompt,gold_response,true_value,prediction,pred_value,is_exact_match,is_value_correct,status,error
age,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_01_1760000_1920000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_01_1760000_1920000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_08_slow_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_08_slow_320000_480000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 18 and 25 years old. ,18-25,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_23_regular_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_23_regular_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_01_lowpitch_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 56 and 65 years old. ,56-65,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_01_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_01_320000_480000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_05_loud_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_05_loud_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_05_loud_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_05_loud_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_05_3360000_3520000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_05_3360000_3520000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female.,female,The speaker's gender is inferred to be male based on their vocal traits. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_05_3360000_3520000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_05_3360000_3520000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 18 and 25 years old. ,18-25,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_06_1920000_2080000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_06_1920000_2080000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_06_1920000_2080000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_06_1920000_2080000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_01_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_01_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/sentences_01_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/sentences_01_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_05_1920000_2080000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_05_1920000_2080000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_05_1920000_2080000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_05_1920000_2080000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/freeform_speech_05_1920000_2080000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/freeform_speech_05_1920000_2080000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_07_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_07_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/emo_desire_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/emo_desire_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_02_fast_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_02_fast_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_04_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_04_whisper_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_04_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_04_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 26 and 35 years old.,26-35,The speaker's age is between 56 and 65 years old. ,56-65,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_04_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_04_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/test/p083/rainbow_05_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/test/p083/rainbow_05_slow_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be black or African American based on the provided information.,black or african american,The speaker's ethnicity is inferred to be white or Caucasian based on their vocal characteristics. ,white or caucasian,0,0,ok,
